OSVersion_Win7SP1x86,OSVersion_Win10Homex64,Process_Name,PID,PPID,Hidden_Process,Threads,Handles,DLLs,Session_ID,Wow64,Start_Time,Exit_Time,Injected_Code,APIhooks_ImportAddressTable(IAT),APIhooks_Inline/Trampoline,APIhooks_NTSyscall,Network_Connection,Network_Protocol_TCP,Network_Protocol_UDP,SeCreateTokenPrivilege,SeAssignPrimaryTokenPrivilege,SeLockMemoryPrivilege,SeIncreaseQuotaPrivilege,SeMachineAccountPrivilege,SeTcbPrivilege,SeSecurityPrivilege,SeTakeOwnershipPrivilege,SeLoadDriverPrivilege,SeSystemProfilePrivilege,SeSystemtimePrivilege,SeProfileSingleProcessPrivilege,SeIncreaseBasePriorityPrivilege,SeCreatePagefilePrivilege,SeCreatePermanentPrivilege,SeBackupPrivilege,SeRestorePrivilege,SeShutdownPrivilege,SeDebugPrivilege,SeAuditPrivilege,SeSystemEnvironmentPrivilege,SeChangeNotifyPrivilege,SeRemoteShutdownPrivilege,SeUndockPrivilege,SeSyncAgentPrivilege,SeEnableDelegationPrivilege,SeManageVolumePrivilege,SeImpersonatePrivilege,SeCreateGlobalPrivilege,SeTrustedCredManAccessPrivilege,SeRelabelPrivilege,SeIncreaseWorkingSetPrivilege,SeTimeZonePrivilege,SeCreateSymbolicLinkPrivilege,SeDelegateSessionUserImpersonatePrivilege,Label
1,0,System,4,0,0,86,495,0,-,0,4/29/2024 23:26,-,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,smss.exe,248,4,0,2,32,2,-,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,csrss.exe,328,320,0,9,340,16,0,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,wininit.exe,364,320,0,3,80,26,0,0,4/29/2024 23:26,-,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,csrss.exe,372,356,0,10,514,16,1,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,services.exe,412,364,0,7,195,33,0,0,4/29/2024 23:26,-,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Benign
1,0,lsass.exe,428,364,0,7,560,62,0,0,4/29/2024 23:26,-,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,Benign
1,0,lsm.exe,436,364,0,10,150,16,0,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,Benign
1,0,winlogon.exe,492,356,0,5,134,32,1,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,Malicious
1,0,svchost.exe,576,412,0,10,364,52,0,0,4/29/2024 23:26,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,664,412,0,6,234,34,0,0,4/29/2024 23:26,-,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,sppsvc.exe,884,412,0,4,162,31,0,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,svchost.exe,924,412,0,17,441,88,0,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Malicious
1,0,svchost.exe,948,412,0,26,1101,144,0,0,4/29/2024 11:26,-,0,0,2,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,Malicious
1,0,svchost.exe,996,412,0,21,466,73,0,0,4/29/2024 11:26,-,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,Malicious
1,0,svchost.exe,1064,412,0,12,523,83,0,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Malicious
1,0,svchost.exe,1088,412,0,17,500,74,0,0,4/29/2024 11:26,-,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
1,0,spoolsv.exe,1432,412,0,12,286,76,0,0,4/29/2024 11:26,-,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,Benign
1,0,svchost.exe,1464,412,0,18,323,65,0,0,4/29/2024 11:26,-,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Benign
